Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Home Page,50,329,275,453,39.77,0.000%,4.69704,21.82,0.53,4758.0
TOTAL,50,329,275,453,39.77,0.000%,4.69704,21.82,0.53,4758.0
